id,label,sif,rnn,attention,hybrid,ensemble_majority,ensemble_average
0,0,0.2706274092197418,0.4308709800243377,0.1351971626281738,0.0683825239539146,0,0
1,0,0.2756320536136627,0.3281190693378448,0.0230006836354732,0.2134661078453064,0,0
2,1,0.3335991501808166,0.8067291975021362,0.9679242968559264,0.9620274305343628,1,1
3,0,0.3269437551498413,0.0281251743435859,0.0221585799008607,0.0202852748334407,0,0
4,0,0.3073181211948395,0.0409123264253139,0.0685300230979919,0.0424298457801342,0,0
5,0,0.3187903463840484,0.0501934289932251,0.0397862717509269,0.0519937798380851,0,0
6,0,0.3070905208587646,0.2027878612279892,0.0481702089309692,0.0291857123374938,0,0
7,0,0.3332473039627075,0.0438405089080333,0.0408586263656616,0.0159172210842371,0,0
8,0,0.3261028230190277,0.0119196800515055,0.111751027405262,0.0694210156798362,0,0
9,0,0.3073398470878601,0.1267711222171783,0.0278720445930957,0.0326596982777118,0,0
10,0,0.2333353906869888,0.2127112597227096,0.104637011885643,0.0919515937566757,0,0
11,0,0.3062162697315216,0.2549008727073669,0.0822598934173584,0.0681025311350822,0,0
12,1,0.2689760029315948,0.7110984325408936,0.3062507808208465,0.7909175753593445,1,1
13,1,0.3678458631038666,0.8832668662071228,0.6750746965408325,0.6558831930160522,1,1
14,0,0.3489596545696258,0.0542006604373455,0.0382768921554088,0.0483370013535022,0,0
15,1,0.3914428651332855,0.9144710302352904,0.9519534111022948,0.9746014475822448,1,1
16,0,0.3241651058197021,0.5299376249313354,0.2013576477766037,0.1973072290420532,0,0
17,0,0.3246172070503235,0.1171705722808837,0.0732001736760139,0.0663364976644516,0,0
18,0,0.2908324897289276,0.0912970602512359,0.0546934492886066,0.0102638686075806,0,0
19,0,0.3213333189487457,0.4015175700187683,0.1668529510498047,0.0402251034975051,0,0
20,0,0.3304301500320434,0.313894510269165,0.082609474658966,0.1245939210057258,0,0
21,0,0.3201450109481811,0.1460485309362411,0.0443594120442867,0.1249810755252838,0,0
22,1,0.2948235869407654,0.9380668997764589,0.9365522861480712,0.9666404128074646,1,1
23,0,0.3165084421634674,0.0999876260757446,0.0367190688848495,0.0137730259448289,0,0
24,0,0.2819255888462066,0.1756970137357711,0.0305897407233715,0.0539116598665714,0,0
25,0,0.3307347297668457,0.1034365445375442,0.0875276923179626,0.042513009160757,0,0
26,1,0.4021241366863251,0.7315003275871277,0.9308793544769288,0.9070656299591064,1,1
27,0,0.1996752917766571,0.0305789932608604,0.0881673768162727,0.0356200858950614,0,0
28,0,0.3231704831123352,0.0467771254479885,0.0455967336893081,0.0742740482091903,0,0
29,0,0.2459786832332611,0.0191340874880552,0.0155691308900713,0.0255004968494176,0,0
30,0,0.249592512845993,0.0245141107589006,0.0334935113787651,0.0668665841221809,0,0
31,0,0.3143031299114227,0.1703187823295593,0.2903455793857574,0.2622453272342682,0,0
32,0,0.3655369877815246,0.2692906260490417,0.1133331879973411,0.060318686068058,0,0
33,0,0.3285941183567047,0.0928300768136978,0.0309084020555019,0.039178155362606,0,0
34,1,0.378135621547699,0.9327728152275084,0.9948480129241944,0.97675758600235,1,1
35,1,0.3287466764450073,0.959282159805298,0.9899980425834656,0.978200376033783,1,1
36,0,0.323600023984909,0.0922967866063118,0.0610525384545326,0.056873545050621,0,0
37,0,0.2339734137058258,0.0084771988913416,0.0024573805276304,0.0075818207114934,0,0
38,1,0.3296444416046142,0.3926438987255096,0.1419616788625717,0.1860847622156143,0,0
39,0,0.3237082958221435,0.1792836189270019,0.195246160030365,0.1033480539917945,0,0
40,0,0.3213728964328766,0.0294780991971492,0.0491416566073894,0.0161317326128482,0,0
41,0,0.3335403800010681,0.0077479034662246,0.0492385663092136,0.049803651869297,0,0
42,0,0.3123070001602173,0.0399274416267871,0.0450695864856243,0.1575883775949478,0,0
43,1,0.4004399478435516,0.193512961268425,0.1476847231388092,0.3706799149513244,0,0
44,0,0.2918649315834045,0.0047602890990674,0.0135154258459806,0.0394346490502357,0,0
45,1,0.3713334500789642,0.9097930788993835,0.9602499008178712,0.9276515245437622,1,1
46,1,0.3372195661067962,0.74761962890625,0.7493999600410461,0.9008603692054749,1,1
47,1,0.3257289826869964,0.9413785934448242,0.4400826692581177,0.8662399649620056,1,1
48,0,0.2284008711576461,0.0117925405502319,0.0506330393254756,0.0377179533243179,0,0
49,0,0.2950878441333771,0.0454453118145465,0.1994368135929107,0.036258827894926,0,0
50,0,0.3272733986377716,0.576308012008667,0.0934922620654106,0.1171873360872268,0,0
51,0,0.2819255888462066,0.1764650642871856,0.0305897481739521,0.0538888499140739,0,0
52,0,0.2903003990650177,0.1282692849636078,0.2753306031227112,0.4451703429222107,0,0
53,1,0.371852844953537,0.952067732810974,0.8222271203994751,0.9074947237968444,1,1
54,0,0.3337887823581695,0.0176168084144592,0.1860341280698776,0.1167181357741355,0,0
55,0,0.3460725545883178,0.1446817964315414,0.1286185681819915,0.1517473310232162,0,0
56,0,0.3335403800010681,0.0077479034662246,0.0492385663092136,0.049803651869297,0,0
57,1,0.3516369163990021,0.9300041794776917,0.8461832404136658,0.8384435176849365,1,1
58,0,0.315739244222641,0.0626721531152725,0.0537006072700023,0.0495929531753063,0,0
59,0,0.3544672131538391,0.8901437520980835,0.707343339920044,0.5238783955574036,1,1
60,1,0.3941071629524231,0.8899055123329163,0.7188743352890015,0.7264947295188904,1,1
61,0,0.308335393667221,0.2441029250621795,0.0225667245686054,0.018000753596425,0,0
62,0,0.2719075083732605,0.028392432257533,0.0871448442339897,0.1789497137069702,0,0
63,0,0.303612470626831,0.5190885663032532,0.3272238671779632,0.6247041821479797,1,0
64,0,0.2745495438575744,0.2890723347663879,0.0388308241963386,0.0795784965157508,0,0
65,0,0.2289043962955474,0.0388741418719291,0.0868205428123474,0.0709809809923172,0,0
66,0,0.3079788386821747,0.4380978643894195,0.1187853589653968,0.170501634478569,0,0
